source,target,n
1666,2198,6
919,2198,5
2495,2198,2
2824,2198,2
1454,2202,2
905,2204,2
962,2206,2
809,2207,2
817,2207,5
804,2207,2
975,2210,2
1324,2210,18
1359,2210,6
726,2210,6
905,2210,2
1639,2210,2
1809,2210,2
2613,2210,7
1317,2211,2
1496,2211,3
1548,2211,4
1877,2211,2
1895,2211,4
1928,2211,2
2083,2211,4
2868,2211,4
3035,2211,4
728,2213,2
2179,2213,2
2447,2120,2
537,2214,5
1062,2214,6
1324,2214,12
682,2214,8
840,2214,5
1727,2214,30
2108,2214,9
113,2215,4
1131,2215,2
1324,2215,2
551,2218,2
564,2218,2
520,2218,2
1371,2218,2
632,2218,2
2565,2218,2
592,2219,2
1274,2219,2
762,2219,2
1951,2219,2
2624,2219,2
519,2228,4
994,2228,2
903,2228,5
2463,2228,3
337,2235,4
2264,2235,5
1324,2236,2
1324,2238,3
1928,2238,3
2108,2238,2
2739,2238,9
915,2239,2
679,2239,2
720,2239,2
838,2239,2
2562,2239,2
2741,2239,2
3102,2239,2
1144,2242,3
1281,2242,2
1776,2242,3
2838,2242,3
3042,2242,3
113,2243,4
121,2243,2
318,2243,2
359,2243,2
1320,2243,2
1324,2243,2
1751,2243,2
2853,2243,2
195,2248,2
1026,2248,2
1927,2248,2
2665,2248,2
2719,2248,2
914,2250,2
1209,2250,3
1751,2250,3
2593,2250,2
1462,2253,2
1640,2253,2
1686,2253,2
1324,2255,2
2075,2255,3
3033,2255,3
994,289,12
1263,289,2
1324,289,11
2450,2257,2
68,2259,2
537,2259,3
1778,2259,5
1214,1235,2
1781,2263,2
2736,2263,2
337,2264,4
2235,2264,5
894,2265,2
1619,2265,2
920,2325,3
1403,2325,4
1519,2325,3
2429,2325,4
72,2283,2
877,2283,2
1909,2283,2
1324,2285,3
853,2285,3
917,2288,2
923,2288,2
111,2479,3
276,2479,5
1722,2479,17
1257,2479,4
1275,2479,2
1324,2479,27
7400,2479,7
905,2479,39
1763,2479,2
1679,2479,2
2745,2479,2
2367,2479,5
2740,2479,12
2863,2479,9
1276,2291,5
1928,2291,4
118,2299,3
1324,2299,2
1735,2299,4
1751,2299,4
2420,2299,9
2435,2299,3
375,2299,4
1996,2300,2
1374,2302,2
1545,2302,2
1772,2302,2
450,2307,2
1324,2307,2
1030,2308,6
1686,2308,2
2428,2308,4
2762,2318,2
2771,2318,2
2773,2318,2
264,2745,10
276,2745,2
405,2745,2
956,2745,3
2810,2745,2
1131,2745,3
1324,2745,16
1506,2745,2
7400,2745,7
717,2745,11
905,2745,58
1677,2745,21
1687,2745,4
2108,2745,3
2479,2745,2
2344,2745,3
2476,2745,4
2753,2745,2
2851,2745,2
2998,2745,4
1807,2326,2
58,2328,2
914,2329,4
1324,2329,7
682,2329,6
1710,2329,27
2331,2329,3
1,2331,19
988,2331,6
989,2331,3
994,2331,2
1324,2331,72
682,2331,22
1710,2331,3
2108,2331,45
2329,2331,3
2332,2331,2
2762,2331,3
989,2332,3
994,2332,3
1324,2332,2
1339,2332,2
2331,2332,2
2759,2332,2
2762,2332,4
2817,2332,2
1324,2336,7
2516,2337,2
1085,2337,3
1730,2337,4
1367,2338,3
1520,2338,7
1751,2338,3
2391,2338,2
2593,2338,2
2821,2338,3
2984,2338,4
2915,2281,2
40,2341,3
192,2344,3
264,2344,5
405,2344,4
1324,2344,2
718,2344,3
905,2344,8
1677,2344,2
1815,2344,3
1971,2344,3
2158,2344,3
2745,2344,3
2746,2344,2
2851,2344,3
1505,2345,3
1676,2345,2
1324,2347,2
7400,2347,3
905,2347,6
1,2349,7
51,2349,3
1062,2349,13
1262,2349,4
1324,2349,3
682,2349,4
1928,2349,3
2429,2349,4
1072,2350,4
1324,2350,5
1550,2350,5
914,2354,2
962,2354,2
1359,2354,2
2100,2354,2
399,2365,2
1324,2365,3
1505,2365,4
905,2365,19
1716,2365,2
173,2360,2
1043,2360,2
119,2363,2
1993,2363,2
2055,2363,2
2827,2363,2
218,2364,2
1456,2364,2
2662,2364,2
111,2367,4
1257,2367,2
2479,2367,5
335,2369,3
1710,2369,3
279,2370,6
905,2370,2
645,2355,3
1638,2355,2
2706,2355,2
2878,2355,3
2762,2379,8
962,2380,2
998,2380,2
1461,2380,2
2451,2380,2
2452,2380,2
2481,2380,2
2567,2380,2
2183,2381,2
2383,2381,2
2183,2383,2
2381,2383,2
329,2384,2
1084,2384,4
1324,2384,2
1512,2384,6
1523,2384,3
1621,2384,4
2577,2384,4
463,2386,3
502,2386,4
973,2386,2
1324,2386,6
682,2386,18
1710,2386,5
1803,2386,9
1813,2386,13
2149,2386,2
1727,2388,2
228,2391,4
1520,2391,4
2144,2391,2
2338,2391,2
843,2392,2
2120,2447,2
2720,1421,2
1232,2400,2
1572,2400,2
2075,2400,2
2418,2400,2
3110,2400,2
58,2401,4
487,2401,4
1216,2401,7
1324,2401,2
616,2401,11
682,2401,8
1803,2401,3
2082,2401,2
2143,2401,2
2473,2401,2
582,2402,4
2441,2402,3
1324,2403,2
799,2403,7
585,2406,2
496,2406,2
505,2406,2
893,2406,2
2099,2406,2
2106,2406,2
2171,2406,2
2413,2406,2
3054,2406,2
1114,2409,2
647,2409,2
1340,2410,2
38,2412,5
102,2412,2
318,2412,2
463,2412,4
994,2412,6
1324,2412,6
682,2412,3
872,2412,7
1751,2412,6
1841,2412,2
2119,2412,3
2619,2412,2
2712,2412,3
2762,2412,12
585,2413,2
496,2413,2
505,2413,2
893,2413,2
2006,2413,3
2099,2413,2
2106,2413,2
2171,2413,2
2406,2413,2
3054,2413,2
2707,2414,4
1232,2418,2
1572,2418,2
2075,2418,2
2400,2418,2
3110,2418,2
2614,2419,2
118,2420,3
1206,2420,2
1324,2420,2
1735,2420,4
1751,2420,4
2299,2420,9
2435,2420,5
375,2420,4
551,2396,2
507,2396,2
1061,2396,2
2114,2396,2
1030,2428,2
2308,2428,4
2503,2428,3
47,2429,2
521,2429,2
914,2429,4
920,2429,3
982,2429,2
1062,2429,4
1074,2429,2
1166,2429,4
1206,2429,2
1262,2429,27
1324,2429,9
1403,2429,4
1519,2429,3
682,2429,11
645,2429,3
1710,2429,3
1751,2429,2
1813,2429,3
1820,2429,5
1928,2429,15
2004,2429,2
2108,2429,9
2325,2429,4
2349,2429,4
2591,2429,4
2741,2429,4
3002,2429,5
414,2430,2
1887,2430,4
1144,2430,3
1216,2430,5
2101,2430,3
2146,2430,3
2538,2430,3
3043,2430,3
118,2435,2
1324,2435,2
2299,2435,3
2420,2435,5
2175,2436,2
463,2440,2
657,2440,2
582,2441,3
2402,2441,3
338,2443,2
1328,2443,2
2875,2443,2
177,2444,4
519,2450,4
1324,2450,2
2103,2450,2
2147,2450,4
2257,2450,2
962,2451,2
998,2451,2
1461,2451,2
2380,2451,2
2452,2451,2
2481,2451,2
2567,2451,2
962,2452,2
998,2452,2
1461,2452,2
2380,2452,2
2451,2452,2
2481,2452,2
2567,2452,2
312,2455,5
1030,2455,5
234,2461,2
228,2463,2
519,2463,4
903,2463,2
2144,2463,4
2228,2463,3
719,2464,2
1940,2464,2
1943,2464,2
1338,2467,2
2477,2467,2
1005,2468,4
1324,2468,3
1751,2468,2
1,2469,2
109,2469,3
463,2469,2
994,2469,9
1072,2469,6
1314,2469,2
1324,2469,73
1400,2469,2
7400,2469,2
682,2469,2
839,2469,2
903,2469,4
1647,2469,2
2108,2469,3
2478,2469,39
1307,2470,3
1324,2470,2
2872,2470,6
40,2473,3
58,2473,29
914,2473,4
1324,2473,12
1348,2473,5
1407,2473,2
616,2473,6
1830,2473,2
2401,2473,2
1324,2476,19
905,2476,6
1639,2476,4
2745,2476,4
20,2478,3
641,2478,2
50,2478,2
57,2478,9
66,2478,3
109,2478,2
126,2478,2
163,2478,2
197,2478,2
463,2478,8
994,2478,111
1023,2478,3
1324,2478,62
7400,2478,3
622,2478,3
682,2478,3
903,2478,12
1692,2478,35
1751,2478,4
1784,2478,4
2001,2478,3
2073,2478,10
2181,2478,4
2469,2478,39
962,2481,2
998,2481,2
1461,2481,2
2380,2481,2
2451,2481,2
2452,2481,2
2567,2481,2
248,2485,2
1015,2485,3
1016,2485,3
1238,2485,3
1831,2485,2
2719,2485,2
3062,2485,2
240,2489,2
1324,2489,5
1512,2489,7
617,2489,2
337,2492,3
478,2492,2
1616,2492,2
640,2492,2
648,2492,2
379,2494,2
1524,2494,2
3039,2494,2
1287,2495,2
631,2495,2
667,2495,2
1666,2495,2
919,2495,2
2198,2495,2
2824,2495,2
854,2498,3
893,2498,2
3054,2498,2
853,2500,2
1183,2501,2
704,2501,2
3002,2501,2
2142,2503,3
2428,2503,3
78,2504,5
1193,2504,5
1324,2504,3
545,1398,5
975,1398,6
1324,1398,3
2092,1398,18
2167,1398,6
674,2514,3
1414,2515,2
1524,2515,2
1567,2515,2
2855,2515,2
165,2519,2
379,2519,2
1324,2519,2
1524,2519,3
2003,2519,2
2975,2519,4
3047,2519,2
181,2520,3
356,2520,2
1455,2520,2
2718,2520,2
2820,2520,3
1559,2529,2
261,2534,2
1887,2538,2
1216,2538,2
2101,2538,3
2146,2538,3
2430,2538,3
3043,2538,3
44,2700,2
232,2700,2
994,2700,2
1075,2700,2
903,2700,3
1688,2700,2
684,2542,2
2152,2547,3
2715,2547,3
2762,2547,3
63,2550,3
141,2550,11
324,2550,3
367,2550,2
410,2550,2
1287,2550,7
1296,2550,3
1324,2550,7
1524,2550,8
853,2550,4
2069,2550,2
2167,2550,2
1131,2553,2
1153,2553,4
1324,2553,2
129,2558,2
104,2559,2
1215,2559,2
62,2477,2
576,2477,2
2467,2477,2
915,2562,2
679,2562,3
720,2562,3
838,2562,3
2239,2562,2
2741,2562,3
3102,2562,4
2925,2563,2
2900,2563,2
20,2493,3
149,2493,2
164,2493,2
2973,2493,3
1324,2456,7
1349,2456,2
791,2456,2
815,2456,7
893,2456,8
3054,2456,10
551,2565,2
564,2565,2
520,2565,2
1371,2565,2
632,2565,2
2218,2565,2
962,2567,2
998,2567,2
1461,2567,2
2380,2567,2
2451,2567,2
2452,2567,2
2481,2567,2
39,2568,2
2227,2568,2
999,2569,2
1685,2569,2
50,2570,2
493,2570,8
994,2570,4
1617,2570,5
1324,2573,2
1545,2573,2
895,2573,2
1767,2573,2
2667,2573,2
1921,2574,2
240,2577,2
329,2577,3
1084,2577,8
1512,2577,2
1523,2577,4
617,2577,2
1621,2577,6
2384,2577,4
1012,2588,2
1365,2588,13
682,2588,4
348,2589,2
1166,2591,5
2429,2591,4
1209,2593,2
1751,2593,4
2250,2593,2
2338,2593,2
2984,2593,2
853,2600,2
822,2600,2
191,2602,2
1465,2602,2
842,2602,2
1686,2602,2
2741,2612,4
3113,2612,5
285,2613,2
312,2613,6
349,2613,2
914,2613,3
1049,2613,2
1324,2613,2
1359,2613,6
726,2613,9
1834,2613,2
2210,2613,7
2419,2614,2
1324,2619,4
2412,2619,2
2712,2619,2
565,2623,2
1429,2623,2
1450,2623,2
1274,2624,2
762,2624,2
2219,2624,2
501,2638,2
1324,2643,2
1496,2650,2
442,2651,3
1077,2651,3
672,2651,2
770,2651,3
827,2651,2
1849,2651,2
1974,2651,2
2891,2651,2
3004,2651,3
54,2657,2
218,2662,2
1456,2662,2
2364,2662,2
195,2665,2
1026,2665,2
1927,2665,2
2248,2665,2
2719,2665,2
395,2667,2
1324,2667,3
1545,2667,2
895,2667,3
1767,2667,2
2573,2667,2
1767,2668,2
146,2671,3
252,2671,2
2818,2671,3
732,2672,2
978,2674,2
2831,2674,4
567,2676,2
808,2676,2
1330,2677,2
706,2677,2
1606,2677,3
2149,2677,2
812,2683,2
2724,2683,2
1746,2683,2
66,2684,2
994,2684,4
1299,2684,4
1324,2684,4
955,2692,2
1305,2699,3
1823,2699,5
812,2724,2
2683,2724,2
1746,2724,2
645,2706,2
1638,2706,3
2355,2706,2
2878,2706,2
2414,2707,4
1324,2712,4
2412,2712,3
2619,2712,2
2762,2712,2
2152,2715,3
2547,2715,3
2762,2715,3
994,2717,2
1340,2717,2
181,2718,2
356,2718,2
1455,2718,2
2520,2718,2
2820,2718,2
195,2719,2
248,2719,3
1026,2719,2
1831,2719,3
1927,2719,2
2248,2719,2
2485,2719,2
2665,2719,2
3062,2719,4
538,2720,2
1571,2720,2
1421,2720,2
620,2727,2
1685,2727,2
1978,2727,2
2075,2727,2
3086,2727,2
993,2728,2
1751,2728,2
1302,2579,2
1262,2731,2
1351,2731,2
3093,2731,2
1298,2115,2
1569,2115,3
1570,2732,2
1206,2734,2
1781,2736,2
2263,2736,2
2471,2737,2
2848,2737,2
1324,2739,7
2103,2739,4
2108,2739,4
2238,2739,9
1324,2740,6
905,2740,4
1759,2740,3
2479,2740,12
2863,2740,6
463,2741,6
915,2741,2
1206,2741,3
1324,2741,3
682,2741,4
645,2741,6
679,2741,4
720,2741,4
838,2741,4
1710,2741,2
1751,2741,9
1820,2741,8
1928,2741,3
2239,2741,2
2429,2741,4
2562,2741,3
2612,2741,4
3002,2741,3
3102,2741,3
3113,2741,4
192,2746,3
264,2746,2
405,2746,2
718,2746,3
1815,2746,2
1971,2746,3
2344,2746,2
2851,2746,3
719,2747,2
1721,2747,2
1756,2747,2
1938,2747,2
905,2750,2
1760,2750,4
2111,2750,2
2943,2750,2
2745,2753,2
308,2755,2
1534,2755,2
2737,2471,2
2848,2471,2
401,2757,6
997,2757,2
1324,2757,5
677,2757,4
689,2757,3
404,2758,2
2846,2758,2
2332,2759,2
2817,2759,2
20,2762,3
38,2762,2
49,2762,2
97,2762,9
318,2762,2
341,2762,2
416,2762,5
439,2762,6
463,2762,3
931,2762,2
989,2762,5
994,2762,53
1216,2762,3
1324,2762,97
1339,2762,2
1353,2762,2
1532,2762,16
1533,2762,5
682,2762,10
792,2762,5
872,2762,8
1617,2762,3
1751,2762,4
2084,2762,2
2149,2762,2
2152,2762,3
2153,2762,6
2165,2762,5
2318,2762,2
2331,2762,3
2332,2762,4
2379,2762,8
2412,2762,12
2547,2762,3
2712,2762,2
2715,2762,3
2771,2762,2
2773,2762,2
2973,2762,5
1694,2769,2
2863,2770,2
2318,2771,2
2762,2771,2
2773,2771,2
2318,2773,2
2762,2773,2
2771,2773,2
1451,2807,2
3078,2807,2
2332,2817,2
2759,2817,2
119,2827,2
1993,2827,2
2055,2827,2
2363,2827,2
146,2818,3
252,2818,2
2671,2818,3
59,2819,3
1839,2819,2
181,2820,5
356,2820,2
1455,2820,2
2520,2820,3
2718,2820,2
404,2846,2
2758,2846,2
1751,2821,4
2338,2821,3
2984,2821,2
59,2822,5
232,2822,10
994,2822,4
1688,2822,2
1287,2824,2
631,2824,2
667,2824,2
1666,2824,2
919,2824,2
2198,2824,2
2495,2824,2
1018,2828,2
1154,2828,2
744,2828,2
1789,2828,2
978,2831,2
2674,2831,4
1341,2837,2
1144,2838,3
1281,2838,2
1776,2838,3
2242,2838,3
3042,2838,3
1777,2839,2
2048,2839,2
58,2841,5
1407,2841,4
1830,2841,2
2142,2841,5
2143,2841,2
117,2842,2
495,2842,2
2107,2842,2
994,2848,3
1924,2848,2
2737,2848,2
2471,2848,2
192,2851,4
264,2851,2
405,2851,3
718,2851,4
905,2851,5
1815,2851,3
1971,2851,4
2745,2851,2
2344,2851,3
2746,2851,3
1320,2853,2
2243,2853,2
244,2854,2
303,2854,2
926,2854,2
1414,2855,2
1524,2855,2
1567,2855,2
2515,2855,2
1206,2376,2
197,2860,2
1144,2860,2
194,2861,2
1216,2861,2
910,2861,2
1324,2863,8
905,2863,14
2479,2863,9
2740,2863,6
2770,2863,2
1328,2864,2
726,2864,2
744,2864,2
1880,2864,2
1882,2864,2
2012,2864,2
2883,2864,2
1512,2865,2
1317,2868,2
1496,2868,3
1548,2868,4
1877,2868,2
1895,2868,4
1928,2868,2
2083,2868,4
2211,2868,4
3035,2868,4
1324,2869,3
905,2869,2
1002,2871,2
2176,2871,2
1101,2872,2
1307,2872,2
1324,2872,4
2470,2872,6
1479,2874,2
756,2874,2
1731,2874,2
3041,2874,2
338,2875,2
1328,2875,3
2443,2875,2
994,2877,4
1340,2877,4
1705,2877,2
645,2878,3
1638,2878,2
2355,2878,3
2706,2878,2
1324,2883,2
1326,2883,3
1328,2883,2
726,2883,2
744,2883,4
1880,2883,2
1882,2883,3
2012,2883,7
2864,2883,2
905,2885,2
1877,2889,2
442,2891,2
1077,2891,2
672,2891,2
770,2891,2
1849,2891,2
2651,2891,2
3004,2891,2
490,2895,5
1324,2895,3
1571,2895,5
1751,2895,3
2108,2895,2
994,2898,12
1324,2898,3
1617,2898,6
2925,2900,2
2563,2900,2
1800,2899,2
2006,2899,3
118,2903,4
1085,2905,2
285,2908,2
1308,2908,2
1566,2908,2
1944,2908,2
288,2909,2
1015,2909,2
1011,2911,2
1345,2911,2
2281,2915,2
43,2916,2
154,2916,2
994,2916,2
1324,2916,7
523,2917,3
3047,2917,3
118,375,4
214,375,4
240,375,2
1324,375,8
1512,375,3
617,375,2
873,375,4
1633,375,2
1735,375,10
1751,375,9
1996,375,2
2299,375,4
2420,375,4
242,2929,5
1189,2929,3
1475,2929,5
658,2929,5
1790,2929,5
2052,2929,2
2090,2929,2
117,2937,6
2111,2943,3
2750,2943,2
812,1746,2
2683,1746,2
2724,1746,2
61,2954,2
921,2954,2
1751,2954,3
2984,2954,3
905,2961,2
330,2965,2
873,2969,2
1152,2971,3
1676,2971,2
13,3011,2
793,3011,2
156,2972,2
1292,2972,2
20,2973,14
144,2973,7
149,2973,5
164,2973,3
439,2973,7
994,2973,8
1062,2973,2
1324,2973,12
682,2973,2
649,2973,2
792,2973,7
1693,2973,2
2153,2973,6
2493,2973,3
2762,2973,5
882,2974,2
165,2975,2
1324,2975,2
1524,2975,2
2003,2975,2
2519,2975,4
3047,2975,2
1314,2983,2
2075,2983,2
2997,2983,9
179,2944,2
503,2944,2
1238,2944,2
1314,2997,2
2075,2997,2
2983,2997,9
717,2998,6
1677,2998,6
2112,2998,2
2745,2998,4
41,3001,3
1027,3001,2
1259,3001,4
337,3002,4
401,3002,2
463,3002,4
1073,3002,4
1183,3002,2
1206,3002,3
1262,3002,4
1324,3002,3
1486,3002,4
645,3002,8
704,3002,2
1751,3002,2
1813,3002,2
1820,3002,2
1928,3002,4
2004,3002,4
2149,3002,11
2429,3002,5
2501,3002,2
2741,3002,3
14,2970,2
442,3004,4
1077,3004,3
672,3004,2
770,3004,3
827,3004,3
1849,3004,2
1974,3004,2
2013,3004,3
2651,3004,3
2891,3004,2
475,3016,2
978,3016,4
1324,3016,6
1349,3016,2
1595,3016,4
1324,1950,20
1368,1950,2
1085,1950,3
848,1950,2
853,1950,17
1730,1950,3
1866,1950,2
2167,1950,8
3039,1950,2
932,3029,4
1324,3029,4
7400,3029,2
2054,3029,2
114,3031,2
1324,3031,2
2075,3033,2
2255,3033,3
1617,3034,2
2135,3034,2
3055,3034,2
1317,3035,2
1324,3035,3
1496,3035,3
1548,3035,4
1877,3035,3
1895,3035,4
1928,3035,2
2083,3035,4
2211,3035,4
2868,3035,4
316,3036,2
1361,3036,2
1324,3039,3
853,3039,3
1866,3039,3
2494,3039,2
1950,3039,2
1479,3041,2
756,3041,2
1731,3041,2
2874,3041,2
1144,3042,3
1281,3042,2
1776,3042,3
2242,3042,3
2838,3042,3
1262,3093,2
1351,3093,2
2731,3093,2
61,2984,4
921,2984,2
1520,2984,2
1751,2984,4
2338,2984,4
2593,2984,2
2821,2984,2
2954,2984,3
1887,3043,2
1216,3043,2
2101,3043,3
2146,3043,3
2430,3043,3
2538,3043,3
434,3044,2
1641,3044,2
1592,3045,2
746,3045,2
915,3102,2
679,3102,3
720,3102,3
838,3102,3
2239,3102,2
2562,3102,4
2741,3102,3
523,3047,2
1324,3047,2
1524,3047,2
2003,3047,3
2519,3047,2
2917,3047,3
2975,3047,2
1360,3049,3
2107,3049,2
585,3054,2
496,3054,2
505,3054,2
968,3054,3
1324,3054,15
1349,3054,2
815,3054,8
893,3054,12
2099,3054,2
2106,3054,2
2171,3054,2
2406,3054,2
2413,3054,2
2498,3054,2
2456,3054,10
20,3055,2
27,3055,2
50,3055,9
57,3055,2
59,3055,2
97,3055,2
142,3055,2
207,3055,2
320,3055,2
994,3055,8
1324,3055,3
806,3055,2
907,3055,2
1617,3055,18
2135,3055,2
2181,3055,2
3034,3055,2
771,3056,2
1655,3056,2
994,3060,2
1999,3060,5
1761,3061,2
247,3061,2
1216,3061,2
178,3062,2
248,3062,3
249,3062,2
1831,3062,3
2485,3062,2
2719,3062,4
1632,3064,2
331,3069,2
1951,3069,2
2051,3069,2
914,2738,2
1510,2738,2
1451,3078,2
2807,3078,2
69,3080,2
1808,3080,2
682,3081,6
1803,3081,2
1813,3081,6
620,3086,2
1685,3086,2
1978,3086,2
2075,3086,2
2727,3086,2
318,3088,2
1751,3088,2
119,3089,2
185,3089,2
556,3089,2
782,3089,2
2114,3089,2
593,3094,3
387,3094,7
2103,3094,4
481,3090,2
692,3090,2
1602,3090,2
1208,3101,2
499,3105,2
1145,3105,2
1639,3105,2
645,3107,4
2188,3107,5
1170,3108,2
2876,3108,2
1232,3110,2
1572,3110,2
2075,3110,2
2400,3110,2
2418,3110,2
12,3111,2
575,3111,2
1784,3111,2
2131,3111,2
2612,3113,5
2741,3113,4
